COD_DEIS	Año	Mes	COD_SIGTE	CONSULTAS	CONSULTAS_NUEVA	CONSULTAS_CONTROL	PERTINENTES	NSP	NSP_NUEVA	ALTAS
114101	2018	6	07-062	3	3	0	0	0	0	3
114101	2018	6	07-063	0	0	0	0	0	0	0
114101	2018	6	07-064	388	40	348	0	129	129	3
114101	2018	6	07-065	130	42	88	0	27	27	6
114101	2018	6	07-066	561	172	389	11	123	0	32
114101	2018	6	07-067	1980	903	1077	144	317	317	535
114101	2018	6	07-068	198	57	141	12	42	42	7
114101	2018	7	07-002	0	0	0	0	0	0	0
114101	2018	7	07-003	1336	418	918	61	230	0	37
114101	2018	7	07-004	970	314	656	44	128	0	143
114101	2018	7	07-005	1173	176	997	46	100	0	11
114101	2018	7	07-006	0	0	0	0	0	0	0
114101	2018	7	07-007	23	11	12	0	2	0	5
114101	2018	7	07-008	24	0	24	0	0	0	0
114101	2018	7	07-009	272	156	116	28	27	27	17
114101	2018	7	07-010	302	162	140	57	90	0	75
114101	2018	7	07-011	452	176	276	40	59	0	13
114101	2018	7	07-012	1272	483	789	190	396	116	180
114101	2018	7	07-013	425	34	391	4	0	0	23
114101	2018	7	07-014	975	135	840	35	111	0	17
114101	2018	7	07-015	438	55	383	21	65	65	18
114101	2018	7	07-016	168	73	95	12	33	0	10
114101	2018	7	07-017	822	111	711	9	97	97	39
114101	2018	7	07-018	461	90	371	23	62	0	8
114101	2018	7	07-019	376	57	319	12	76	76	11
114101	2018	7	07-020	72	42	30	0	23	23	4
114101	2018	7	07-021	0	0	0	0	0	0	0
114101	2018	7	07-022	130	29	101	4	41	41	16
114101	2018	7	07-023	836	113	723	27	112	0	14
114101	2018	7	07-025	516	55	461	5	119	0	3
114101	2018	7	07-026	323	139	184	85	131	0	93
114101	2018	7	07-028	0	0	0	0	0	0	0
114101	2018	7	07-029	224	0	0	3	0	0	222
114101	2018	7	07-030	1812	384	1428	59	292	0	39
114101	2018	7	07-035	0	0	0	0	0	0	0
114101	2018	7	07-037	1128	134	994	57	174	0	11
114101	2018	7	07-038	541	63	478	4	89	89	13
114101	2018	7	07-039	160	13	147	0	56	56	2
114101	2018	7	07-040	452	153	299	81	61	14	39
114101	2018	7	07-041	1117	273	844	57	136	0	49
114101	2018	7	07-042	945	168	777	55	176	176	28
114101	2018	7	07-044	4635	1165	3470	195	647	60	67
114101	2018	7	07-045	623	55	568	2	40	0	15
114101	2018	7	07-046	1587	472	1115	128	213	86	63
114101	2018	7	07-047	106	15	91	2	39	39	4
114101	2018	7	07-048	1128	44	1084	14	260	0	18
114101	2018	7	07-049	166	35	131	0	0	0	0
114101	2018	7	07-051	916	73	843	22	61	0	6
114101	2018	7	07-053	2481	696	1785	114	427	0	103
114101	2018	7	07-054	986	234	752	72	126	0	11
114101	2018	7	07-055	474	64	410	14	128	128	56
114101	2018	7	07-056	203	50	153	8	12	0	5
114101	2018	7	07-057	73	29	44	0	2	2	0
114101	2018	7	07-058	999	263	736	97	146	0	86
114101	2018	7	07-059	318	52	266	0	41	41	12
114101	2018	7	07-060	401	161	240	0	2	2	101
114101	2018	7	07-061	0	0	0	0	0	0	0
114101	2018	7	07-062	0	0	0	0	0	0	0
114101	2018	7	07-063	0	0	0	0	0	0	0
114101	2018	7	07-064	415	33	382	0	117	117	52
114101	2018	7	07-065	90	31	59	1	15	15	12
114101	2018	7	07-066	583	156	427	8	132	0	35
114101	2018	7	07-067	1315	620	695	91	235	235	395
114101	2018	7	07-068	173	63	110	22	49	49	10
114101	2018	8	07-002	0	0	0	0	0	0	0
114101	2018	8	07-003	1753	508	1245	0	210	0	36
114101	2018	8	07-004	1168	385	783	82	114	0	185
114101	2018	8	07-005	1313	158	1155	47	95	0	18
114101	2018	8	07-006	0	0	0	0	0	0	0
114101	2018	8	07-007	46	26	20	5	15	0	7
114101	2018	8	07-008	31	0	31	0	1	0	0
114101	2018	8	07-009	421	252	169	77	80	80	59
114101	2018	8	07-010	370	154	216	47	115	0	86
114101	2018	8	07-011	455	171	284	26	66	0	26
114101	2018	8	07-012	1389	485	904	0	357	92	169
114101	2018	8	07-013	499	45	454	2	0	0	33
114101	2018	8	07-014	1148	154	994	0	80	0	23
114101	2018	8	07-015	535	63	472	0	74	74	18
114101	2018	8	07-016	194	70	124	0	28	0	13
114101	2018	8	07-017	864	129	735	0	86	86	29
114101	2018	8	07-018	478	97	381	0	57	0	14
114101	2018	8	07-019	414	46	368	0	112	112	25
114101	2018	8	07-020	108	42	66	0	25	25	3
114101	2018	8	07-021	0	0	0	0	0	0	0
114101	2018	8	07-022	153	46	107	10	21	21	21
114101	2018	8	07-023	619	57	562	16	59	0	6
114101	2018	8	07-025	594	51	543	2	116	0	2
114101	2018	8	07-026	356	157	199	88	105	0	70
114101	2018	8	07-028	0	0	0	0	0	0	0
114101	2018	8	07-029	235	0	0	0	1	0	232
114101	2018	8	07-030	2157	434	1723	70	375	0	50
114101	2018	8	07-035	0	0	0	0	0	0	0
114101	2018	8	07-037	1373	122	1251	47	174	0	6
114101	2018	8	07-038	542	73	469	6	58	58	7
114101	2018	8	07-039	155	12	143	0	46	46	4
114101	2018	8	07-040	635	191	444	76	81	19	41
114101	2018	8	07-041	1236	283	953	69	141	0	45
114101	2018	8	07-042	1281	221	1060	83	193	193	52
114101	2018	8	07-044	5290	1045	4245	0	595	57	63
114101	2018	8	07-045	751	71	680	1	44	0	22
114101	2018	8	07-046	2096	695	1401	0	339	125	107
114101	2018	8	07-047	184	14	170	1	50	50	3
114101	2018	8	07-048	1384	48	1336	0	272	0	22
114101	2018	8	07-049	204	23	181	0	0	0	0
114101	2018	8	07-051	983	70	913	0	61	0	3
114101	2018	8	07-053	3295	945	2350	187	533	0	139
114101	2018	8	07-054	1055	234	821	84	122	0	18
114101	2018	8	07-055	687	132	555	0	118	118	87
114101	2018	8	07-056	236	58	178	8	16	0	11
114101	2018	8	07-057	68	20	48	3	9	9	0
114101	2018	8	07-058	1407	341	1066	143	248	0	107
